feature, score
sa_avg_apply_amount_pos,484
sa_pos_appr_rate_pos,461
cus_age,375
sa_over4k_amount_rate_pos,369
sa_avg_tcprice_pos,341
max_instalment_pos,336
pos_credit,330
max_credit_pos,327
max_hist_cpd_pos,260
pos_total_delay_day_cnt,240
pos_dd_fail_ratio,232
pos_sales_commission,203
pos_dd_fail_cnt,177
pos_period_cnt,169
sa_avg_payment_num_pos,158
pos_finished_periods_cnt,155
pos_due_periods_ratio,148
pos_on_time_pay_cnt,133
pos_in_time_pay_cnt,122
dd2_pos,118
dd1_pos,94
dd3_pos,87
dd4_pos,76
dd5_pos,55
