feature, score
cus_age,197
sa_pos_appr_rate_pos,197
sa_avg_apply_amount_pos,187
pos_sales_commission,175
max_instalment_pos,170
sa_over4k_amount_rate_pos,164
pos_credit,163
sa_avg_tcprice_pos,156
max_credit_pos,140
max_hist_cpd_pos,136
pos_dd_fail_cnt,128
pos_dd_fail_ratio,127
pos_total_delay_day_cnt,126
pos_period_cnt,107
pos_on_time_pay_cnt,96
pos_finished_periods_cnt,95
dd2_pos,77
sa_avg_payment_num_pos,76
pos_due_periods_ratio,76
pos_in_time_pay_cnt,63
dd1_pos,55
dd4_pos,39
dd3_pos,38
dd5_pos,24
